Question,Relevant Documents
việc điều phối sử dụng các nguồn lực chung phục vụ đào tạo của Đại học Quốc gia Hà Nội bao gồm những gì?,"(Document(metadata={}, page_content='1. Quy chế này quy định về đào tạo đại học theo hình thức chính quy và hình thức vừa làm vừa học tại Đại học Quốc gia Hà Nội, bao gồm: chương trình đào tạo và thời gian học tập; tổ chức và quản lý đào tạo; nghiên cứu khoa học của sinh viên; quyền lợi và nghĩa vụ của giảng viên, cố vấn học tập, sinh viên; kiểm tra, thi và đánh giá kết quả học tập; công nhận tốt nghiệp.'), 0.4071217149901031)"
muốn tham gia chương trình học liên thông từ cao đẳng lên đại học tại ĐHQGHN thì có cần điều kiện gì?,"(Document(metadata={}, page_content='Các điều kiện về trình độ tiếng Việt hoặc ngoại ngữ (là ngôn ngữ học tập trong chương trình đào tạo):'), 0.4035304663221868)"
muốn tham gia chương trình học liên thông từ cao đẳng lên đại học tại ĐHQGHN thì có cần điều kiện gì?,"(Document(metadata={}, page_content='a) Có trình độ tiếng Việt hoặc ngoại ngữ cần dùng đạt chuẩn bậc 4 trở lên trước khi được tiếp nhận vào học. Việc kiểm tra do Trường Đại học Khoa học Xã hội và Nhân văn (đối với tiếng Việt) và Trường Đại học Ngoại ngữ (đối với ngoại ngữ) tổ chức thực hiện.'), 0.356244863306602)"
muốn tham gia chương trình học liên thông từ cao đẳng lên đại học tại ĐHQGHN thì có cần điều kiện gì?,"(Document(metadata={}, page_content='e) Chương trình đào tạo liên kết với cơ sở giáo dục nước ngoài do Đại học Quốc gia Hà Nội cấp bằng;'), 0.3507536768546632)"
muốn tham gia chương trình học liên thông từ cao đẳng lên đại học tại ĐHQGHN thì có cần điều kiện gì?,"(Document(metadata={}, page_content='g) Chương trình đào tạo liên kết với cơ sở giáo dục nước ngoài do Đại học Quốc gia Hà Nội và cơ sở giáo dục nước ngoài (đối tác nước ngoài) cùng cấp bằng;'), 0.33970749362214003)"
thay đổi giảng viên hướng dẫn luận văn tốt nghiệp thì cần làm gì,"(Document(metadata={}, page_content='- Nhiệm vụ của giảng viên hướng dẫn, trách nhiệm của bộ môn đối với sinh viên trong thời gian làm khóa luận, đồ án tốt nghiệp;'), 0.38562302903318113)"
thay đổi giảng viên hướng dẫn luận văn tốt nghiệp thì cần làm gì,"(Document(metadata={}, page_content='c) Sinh viên không đủ điều kiện làm khóa luận hoặc đồ án tốt nghiệp sẽ      đăng ký học các học phần thay thế do thủ trưởng đơn vị đào tạo quy định. Các học phần thay thế cho khóa luận, đồ án tốt nghiệp được tổ chức đào tạo, kiểm tra đánh giá như các học phần khác.'), 0.38315023128419845)"
thay đổi giảng viên hướng dẫn luận văn tốt nghiệp thì cần làm gì,"(Document(metadata={}, page_content='5. Đối với sinh viên các chương trình đào tạo tài năng, chất lượng cao: Đề tài khoá luận phải đặt mục đích giải quyết một vấn đề có ý nghĩa lý luận hoặc thực tiễn trong lĩnh vực khoa học liên quan và phải gắn với đề tài nghiên cứu khoa học của giảng viên hướng dẫn; khóa luận phải chứa đựng yếu tố mới và sáng tạo, đảm bảo độ chính xác và tin cậy cao, trình bày mạch lạc, rõ ràng, có thể công bố trên tạp chí khoa học hoặc báo cáo ở hội nghị khoa học. Khuyến khích sinh viên chương trình đào tạo tài năng viết khoá luận bằng ngoại ngữ; nếu viết bằng tiếng Việt thì phải có bản tóm tắt nội dung bằng ngoại ngữ gồm ít nhất là 2 trang khổ A4. Hội đồng chấm khoá luận tốt nghiệp do thủ trưởng đơn vị đào tạo hoặc Chủ nhiệm khoa/Bộ môn được thủ trưởng đơn vị đào tạo ủy quyền ra quyết định thành lập. Hội đồng tối thiểu gồm 5 người, trong đó có 2 phản biện.'), 0.36083022969034473)"
thay đổi giảng viên hướng dẫn luận văn tốt nghiệp thì cần làm gì,"(Document(metadata={}, page_content='Điều 33. Giảng viên'), 0.3507416228559891)"
tham gia khóa học kỹ năng mềm ngoài trường thì kết quả có được công nhận không,"(Document(metadata={}, page_content='c) Sinh viên không đủ điều kiện làm khóa luận hoặc đồ án tốt nghiệp sẽ      đăng ký học các học phần thay thế do thủ trưởng đơn vị đào tạo quy định. Các học phần thay thế cho khóa luận, đồ án tốt nghiệp được tổ chức đào tạo, kiểm tra đánh giá như các học phần khác.'), 0.38093549868864796)"
tham gia khóa học kỹ năng mềm ngoài trường thì kết quả có được công nhận không,"(Document(metadata={}, page_content='3. Kết quả học tập của các học phần đã tích lũy của sinh viên chuyển ngành hoặc chuyển hình thức đào tạo sẽ được xem xét để bảo lưu và công nhận tương đương theo các học phần trong ngành mới.'), 0.34284861394795985)"
tham gia khóa học kỹ năng mềm ngoài trường thì kết quả có được công nhận không,"(Document(metadata={}, page_content='a) Có trình độ tiếng Việt hoặc ngoại ngữ cần dùng đạt chuẩn bậc 4 trở lên trước khi được tiếp nhận vào học. Việc kiểm tra do Trường Đại học Khoa học Xã hội và Nhân văn (đối với tiếng Việt) và Trường Đại học Ngoại ngữ (đối với ngoại ngữ) tổ chức thực hiện.'), 0.3399269101154877)"
tham gia khóa học kỹ năng mềm ngoài trường thì kết quả có được công nhận không,"(Document(metadata={}, page_content='1. Kết quả học tập của người học đã tích lũy từ một trình độ đào tạo khác, một hệ thống tính tín chỉ khác, một ngành đào tạo hoặc một chương trình đào tạo khác, một khóa học khác hoặc từ một cơ sở đào tạo khác ở trong và ngoài nước được đơn vị đào tạo xem xét công nhận, chuyển đổi sang tín chỉ của những học phần trong chương trình đào tạo theo học.'), 0.33235484945886895)"
chuyển từ hệ đào tạo từ xa sang hệ đào tạo chính quy thì cần điều kiện gì ,"(Document(metadata={}, page_content='đ) Đơn vị đào tạo còn chỉ tiêu đối với ngành đào tạo sinh viên muốn chuyển đến;'), 0.4326126347316739)"
chuyển từ hệ đào tạo từ xa sang hệ đào tạo chính quy thì cần điều kiện gì ,"(Document(metadata={}, page_content='3. Chuyển sinh viên đang học chương trình đào tài năng, chất lượng cao sang học chương trình đào tạo chuẩn chính quy của ngành học tương ứng.'), 0.41083156488972894)"
chuyển từ hệ đào tạo từ xa sang hệ đào tạo chính quy thì cần điều kiện gì ,"(Document(metadata={}, page_content='b) Khi chuyển sang học chương trình đào tạo chuẩn chính quy, các học phần nâng cao, bổ sung được chuyển đổi như sau:'), 0.40938525363622913)"
chuyển từ hệ đào tạo từ xa sang hệ đào tạo chính quy thì cần điều kiện gì ,"(Document(metadata={}, page_content='đ) Được sự đồng ý của hiệu trưởng đơn vị đào tạo xin chuyển đi và đơn vị đào tạo xin chuyển đến; Đối với các đơn vị đào tạo trực thuộc phải được sự đồng ý của Giám đốc Đại học Quốc gia Hà Nội;'), 0.40430293376169446)"
muốn xin cấp lại thẻ sinh viên bị mất thì cần làm gì,"(Document(metadata={}, page_content='- Sinh viên bị thiên tai, hỏa hoạn.'), 0.38026245566477757)"
muốn xin cấp lại thẻ sinh viên bị mất thì cần làm gì,"(Document(metadata={}, page_content='đ) Sửa chữa, thêm bớt vào bài làm của sinh viên để tăng hay hạ điểm;'), 0.37909427146460106)"
muốn xin cấp lại thẻ sinh viên bị mất thì cần làm gì,"(Document(metadata={}, page_content='d) Sinh viên thi hộ hoặc nhờ người thi hộ bị kỷ luật ở mức đình chỉ học tập 1 năm nếu vi phạm lần thứ nhất và buộc thôi học nếu vi phạm lần thứ hai.'), 0.3544816077523003)"
muốn xin cấp lại thẻ sinh viên bị mất thì cần làm gì,"(Document(metadata={}, page_content='c) Sinh viên được phép nghỉ học tạm thời, khi trở lại học tiếp, được bố trí vào lớp khóa học phù hợp với khối lượng kiến thức đã tích lũy nhưng giữ nguyên mã sinh viên đã được cấp. Trường hợp sinh viên được bố trí vào lớp khóa học có những học phần trong chương trình đào tạo khác biệt so với chương trình đào tạo mà sinh viên đã theo học trước khi nghỉ học tạm thời, thủ trưởng đơn vị đào tạo quyết định cho sinh viên được bảo lưu hoặc phải học bổ sung những học phần tương đương.'), 0.3527873465890108)"
Tại sao kiểm định chất lượng giáo dục lại là yêu cầu bắt buộc trong đào tạo?,"(Document(metadata={}, page_content='5. Kiểm định chất lượng giáo dục là yêu cầu bắt buộc trong đào tạo.'), 0.7174841953411709)"
Tại sao kiểm định chất lượng giáo dục lại là yêu cầu bắt buộc trong đào tạo?,"(Document(metadata={}, page_content='1. Nội dung đào tạo, phương pháp dạy - học, kiểm tra đánh giá và phương thức quản lý phải phù hợp và đáp ứng chuẩn đầu ra của chương trình đào tạo.'), 0.435973129403993)"
Tại sao kiểm định chất lượng giáo dục lại là yêu cầu bắt buộc trong đào tạo?,"(Document(metadata={}, page_content='b) Đơn vị chủ trì đào tạo chịu trách nhiệm quản lý chất lượng đào tạo; báo cáo hoạt động liên kết đào tạo với Ủy ban nhân dân cấp tỉnh nơi liên kết đào tạo trước khi tổ chức tuyển sinh; nếu đơn vị phối hợp đào tạo không đáp ứng được các yêu cầu về bảo đảm chất lượng theo quy định của học phần hoặc của chương trình đào tạo thì phải chuyển sinh viên về đơn vị chủ trì liên kết để tiếp tục đào tạo theo quy định và bảo đảm quyền lợi cho sinh viên;'), 0.42101706732881117)"
Tại sao kiểm định chất lượng giáo dục lại là yêu cầu bắt buộc trong đào tạo?,"(Document(metadata={}, page_content='d) Nơi chuyển đến có đủ các điều kiện bảo đảm chất lượng và chưa vượt quá năng lực đào tạo đối với chương trình, ngành đào tạo theo quy định hiện hành của Bộ Giáo dục và Đào tạo;'), 0.40714759315508875)"
"Các nội dung đào tạo, phương pháp dạy - học cần phải phù hợp với điều gì?","(Document(metadata={}, page_content='1. Nội dung đào tạo, phương pháp dạy - học, kiểm tra đánh giá và phương thức quản lý phải phù hợp và đáp ứng chuẩn đầu ra của chương trình đào tạo.'), 0.6334800471686527)"
"Các nội dung đào tạo, phương pháp dạy - học cần phải phù hợp với điều gì?","(Document(metadata={}, page_content='- Ngành học phù hợp với ngành có chương trình đào tạo tài năng, chất lượng cao;'), 0.44198976061631723)"
"Các nội dung đào tạo, phương pháp dạy - học cần phải phù hợp với điều gì?","(Document(metadata={}, page_content='- Các học phần có nội dung trùng với chương trình đào tạo chuẩn có thể được tổ chức thi chung đề với chương trình đào tạo chuẩn chính quy. Các học phần nâng cao, bổ sung được tổ chức thi đề riêng;'), 0.43543613640711576)"
"Các nội dung đào tạo, phương pháp dạy - học cần phải phù hợp với điều gì?","(Document(metadata={}, page_content='Các học phần có cùng nội dung, thời lượng mà sinh viên chuyển trường trong và ngoài Đại học Quốc gia Hà Nội, học liên thông (nếu có), học cùng lúc hai chương trình đào tạo, học tại trường đại học nước ngoài đã tích lũy được xem xét công nhận. Các học phần khác, căn cứ chương trình đào tạo và nội dung đào tạo, thủ trưởng đơn vị đào tạo quyết định bảo lưu hoặc tương đương. Điểm và số tín chỉ của các học phần được bảo lưu hoặc tương đương được công nhận và chuyển đổi để lập hồ sơ sinh viên trước khi bắt đầu thực hiện kế  hoạch học tập theo chương trình đào tạo mới.'), 0.42000899900612765)"
Nhà trường ưu tiên điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='3. Ưu tiên đầu tư điều kiện đảm bảo chất lượng giáo dục.'), 0.5756147000930147)"
Nhà trường ưu tiên điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='a) Cam kết chất lượng giáo dục;'), 0.5047874269326396)"
Nhà trường ưu tiên điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='5. Kiểm định chất lượng giáo dục là yêu cầu bắt buộc trong đào tạo.'), 0.40686554644485384)"
Nhà trường ưu tiên điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='d) Điều kiện đảm bảo chất lượng (đội ngũ giảng viên, cơ sở vật chất, các phòng thí nghiệm, thư viện và hệ thống học liệu);'), 0.36239990476943595)"
Việc đào tạo có liên quan gì đến nghiên cứu khoa học và hoạt động thực tiễn không?,"(Document(metadata={}, page_content='4. Gắn đào tạo với nghiên cứu khoa học, hoạt động thực tiễn.'), 0.4902276716740056)"
Việc đào tạo có liên quan gì đến nghiên cứu khoa học và hoạt động thực tiễn không?,"(Document(metadata={}, page_content='- Truyền thụ và tạo lập cho sinh viên hoài bão khoa học, niềm say mê học tập, nghiên cứu khoa học, tư duy khoa học và năng lực sáng tạo, động viên, khuyến khích sinh viên rèn luyện phẩm chất chính trị, đạo đức tác phong của người cán bộ nghiên cứu khoa học;'), 0.3441015554604917)"
Việc đào tạo có liên quan gì đến nghiên cứu khoa học và hoạt động thực tiễn không?,"(Document(metadata={}, page_content='1. Liên kết đào tạo chỉ thực hiện đối với hình thức vừa làm vừa học theo quy định tại khoản 22, Điều 1 Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học và theo quy định tại khoản 2, 3, Điều này; không thực hiện việc liên kết đào tạo đối với các ngành thuộc lĩnh vực sức khỏe có cấp chứng chỉ hành nghề.'), 0.3257400701724782)"
Việc đào tạo có liên quan gì đến nghiên cứu khoa học và hoạt động thực tiễn không?,"(Document(metadata={}, page_content='4. Công trình nghiên cứu khoa học được tính như một niên luận hoặc tiểu luận; được thay cho một học phần tự chọn có điều kiện thuộc khối kiến thức ngành sẽ được tích lũy vào kết quả học tập chung của học kỳ; được tính đến khi xét học bổng, xét học tiếp sau đại học và các quyền lợi khác, nếu có đủ các điều kiện sau:'), 0.29745384499711935)"
Tại sao việc phát triển các chương trình đào tạo mới lại quan trọng?,"(Document(metadata={}, page_content='2. Phát triển các chương trình đào tạo mới, có tính liên ngành đáp ứng nhu cầu hiện tại và tương lai của xã hội.'), 0.6414177317361034)"
Tại sao việc phát triển các chương trình đào tạo mới lại quan trọng?,"(Document(metadata={}, page_content='- Xây dựng những ngành học mới, chương trình đào tạo mới, chú trọng các chương trình đào tạo có tính liên ngành, báo cáo Giám đốc Đại học Quốc gia Hà Nội xem xét thẩm định, ban hành và giao nhiệm vụ tổ chức đào tạo.'), 0.5250915447622171)"
Tại sao việc phát triển các chương trình đào tạo mới lại quan trọng?,"(Document(metadata={}, page_content='1. Nguyên tắc thiết kế chương trình đào tạo'), 0.46783593614398633)"
Tại sao việc phát triển các chương trình đào tạo mới lại quan trọng?,"(Document(metadata={}, page_content='2. Thiết kế chương trình đào tạo'), 0.4579532588114549)"
Nội dung đào tạo cần đáp ứng điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='3. Ưu tiên đầu tư điều kiện đảm bảo chất lượng giáo dục.'), 0.5408108441170827)"
Nội dung đào tạo cần đáp ứng điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='5. Kiểm định chất lượng giáo dục là yêu cầu bắt buộc trong đào tạo.'), 0.5110748937934947)"
Nội dung đào tạo cần đáp ứng điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='a) Cam kết chất lượng giáo dục;'), 0.5087291687927724)"
Nội dung đào tạo cần đáp ứng điều gì để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='1. Nội dung đào tạo, phương pháp dạy - học, kiểm tra đánh giá và phương thức quản lý phải phù hợp và đáp ứng chuẩn đầu ra của chương trình đào tạo.'), 0.4769937719758275)"
Tại sao cần gắn đào tạo với nghiên cứu khoa học và hoạt động thực tiễn?,"(Document(metadata={}, page_content='4. Gắn đào tạo với nghiên cứu khoa học, hoạt động thực tiễn.'), 0.5803712248285602)"
Tại sao cần gắn đào tạo với nghiên cứu khoa học và hoạt động thực tiễn?,"(Document(metadata={}, page_content='1. Chuẩn đầu ra là yêu cầu bắt buộc khi xây dựng chương trình đào tạo. Ngoài ra, đối với các chương trình đào tạo tài năng, chất lượng cao, chuẩn đầu ra phải đáp ứng yêu cầu: Có kiến thức cơ bản vững vàng, có khả năng áp dụng kiến thức chuyên sâu và kiến thức thực tế trong lĩnh vực đào tạo để phân tích, đánh giá, sáng tạo trong nghiên cứu và giải quyết các công việc phức tạp, có khả năng hội nhập quốc tế; có năng lực và trình độ chuyên môn cao (thể hiện qua kết quả học tập và nghiên cứu khoa học).'), 0.358063162645059)"
Tại sao cần gắn đào tạo với nghiên cứu khoa học và hoạt động thực tiễn?,"(Document(metadata={}, page_content='- Truyền thụ và tạo lập cho sinh viên hoài bão khoa học, niềm say mê học tập, nghiên cứu khoa học, tư duy khoa học và năng lực sáng tạo, động viên, khuyến khích sinh viên rèn luyện phẩm chất chính trị, đạo đức tác phong của người cán bộ nghiên cứu khoa học;'), 0.3335337389585672)"
Tại sao cần gắn đào tạo với nghiên cứu khoa học và hoạt động thực tiễn?,"(Document(metadata={}, page_content='2. Phát triển các chương trình đào tạo mới, có tính liên ngành đáp ứng nhu cầu hiện tại và tương lai của xã hội.'), 0.31573225884671796)"
Phát triển các chương trình đào tạo mới có mục đích gì?,"(Document(metadata={}, page_content='2. Phát triển các chương trình đào tạo mới, có tính liên ngành đáp ứng nhu cầu hiện tại và tương lai của xã hội.'), 0.6581675636839088)"
Phát triển các chương trình đào tạo mới có mục đích gì?,"(Document(metadata={}, page_content='- Xây dựng những ngành học mới, chương trình đào tạo mới, chú trọng các chương trình đào tạo có tính liên ngành, báo cáo Giám đốc Đại học Quốc gia Hà Nội xem xét thẩm định, ban hành và giao nhiệm vụ tổ chức đào tạo.'), 0.5387294641502207)"
Phát triển các chương trình đào tạo mới có mục đích gì?,"(Document(metadata={}, page_content='2. Các loại chương trình đào tạo'), 0.46999069377410585)"
Phát triển các chương trình đào tạo mới có mục đích gì?,"(Document(metadata={}, page_content='2. Thiết kế chương trình đào tạo'), 0.4515053388983188)"
Những yếu tố nào trong đào tạo cần được ưu tiên đầu tư để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='3. Ưu tiên đầu tư điều kiện đảm bảo chất lượng giáo dục.'), 0.6203857378327426)"
Những yếu tố nào trong đào tạo cần được ưu tiên đầu tư để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='5. Kiểm định chất lượng giáo dục là yêu cầu bắt buộc trong đào tạo.'), 0.4480095949891282)"
Những yếu tố nào trong đào tạo cần được ưu tiên đầu tư để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='4. Phù hợp với các điều kiện đảm bảo chất lượng hiện có của đơn vị đào tạo.'), 0.4416762302102446)"
Những yếu tố nào trong đào tạo cần được ưu tiên đầu tư để đảm bảo chất lượng giáo dục?,"(Document(metadata={}, page_content='d) Nơi chuyển đến có đủ các điều kiện bảo đảm chất lượng và chưa vượt quá năng lực đào tạo đối với chương trình, ngành đào tạo theo quy định hiện hành của Bộ Giáo dục và Đào tạo;'), 0.4070151677570675)"
Kiểm tra đánh giá trong quá trình dạy - học cần tuân theo nguyên tắc gì?,"(Document(metadata={}, page_content='2. Kiểm tra đánh giá thường xuyên là hoạt động của giảng viên sử dụng các kỹ thuật đánh giá khác nhau trong các hình thức dạy học nhằm kiểm tra việc nắm vững kiến thức và rèn luyện kỹ năng đã được xác định trong mục tiêu của học phần, đồng thời qua đó có được những thông tin phản hồi giúp giảng viên, sinh viên điều chỉnh cách dạy, cách học, thay đổi phương pháp dạy và học cho phù hợp.'), 0.5699803407966844)"
Kiểm tra đánh giá trong quá trình dạy - học cần tuân theo nguyên tắc gì?,"(Document(metadata={}, page_content='- Tự giác áp dụng và hướng dẫn sinh viên áp dụng phương pháp dạy-học, kiểm tra đánh giá tiên tiến phù hợp;'), 0.4565414236800369)"
Kiểm tra đánh giá trong quá trình dạy - học cần tuân theo nguyên tắc gì?,"(Document(metadata={}, page_content='5. Phương pháp đánh giá, hình thức kiểm tra đánh giá học phần, trọng số của các điểm kiểm tra đánh giá bộ phận và điểm thi kết thúc học phần được quy định trong đề cương chi tiết của mỗi học phần. Hình thức đánh giá trực tuyến được áp dụng khi đảm bảo trung thực, công bằng và khách quan như đánh giá trực tiếp, đồng thời đóng góp không quá 50% trọng số điểm học phần.'), 0.43939794016713973)"
Kiểm tra đánh giá trong quá trình dạy - học cần tuân theo nguyên tắc gì?,"(Document(metadata={}, page_content='- Hình thức kiểm tra, đánh giá: Bên cạnh hình thức thi viết truyền thống, tăng cường các hình thức thi vấn đáp và thi trắc nghiệm, đồng thời sử dụng những phần mềm chuyên dụng để sinh viên tự kiểm tra, đánh giá. Đối với một số học phần có thể đánh giá kết quả học tập qua hoạt động seminar, tự học ở nhà, thực tập thực tế và viết tiểu luận.'), 0.4392301957100664)"
Hình thức dạy học lý thuyết trong chương trình đào tạo được thực hiện như thế nào?,"(Document(metadata={}, page_content='1. Nguyên tắc thiết kế chương trình đào tạo'), 0.5208340387130407)"
Hình thức dạy học lý thuyết trong chương trình đào tạo được thực hiện như thế nào?,"(Document(metadata={}, page_content='2. Thiết kế chương trình đào tạo'), 0.49689113057042644)"
Hình thức dạy học lý thuyết trong chương trình đào tạo được thực hiện như thế nào?,"(Document(metadata={}, page_content='Chương trình đào tạo được thiết kế hướng tới đạt chuẩn đầu ra và tiến hành theo quy trình 4 bước:'), 0.4542739232301509)"
Hình thức dạy học lý thuyết trong chương trình đào tạo được thực hiện như thế nào?,"(Document(metadata={}, page_content='1. Nội dung đào tạo, phương pháp dạy - học, kiểm tra đánh giá và phương thức quản lý phải phù hợp và đáp ứng chuẩn đầu ra của chương trình đào tạo.'), 0.4487095277023486)"
Hình thức dạy học thực hành yêu cầu sinh viên làm gì?,"(Document(metadata={}, page_content='1. Hình thức dạy học'), 0.47679517602564414)"
Hình thức dạy học thực hành yêu cầu sinh viên làm gì?,"(Document(metadata={}, page_content='b) Thực hành: sinh viên học tập qua thực hành, thực tập, làm thí nghiệm, làm bài tập, thảo luận, đọc và nghiên cứu tài liệu dưới sự hướng dẫn của giảng viên;'), 0.4188468418052883)"
Hình thức dạy học thực hành yêu cầu sinh viên làm gì?,"(Document(metadata={}, page_content='b) Hướng dẫn phương pháp học tập, nghiên cứu, phát triển các kỹ năng cho sinh viên; thường xuyên theo dõi kết quả học tập của sinh viên;'), 0.3888736890182809)"
Hình thức dạy học thực hành yêu cầu sinh viên làm gì?,"(Document(metadata={}, page_content='h) Học phần ngoại ngữ trong chương trình đào tạo là học phần sinh viên bắt buộc phải tích lũy trong chương trình đào tạo.'), 0.3680041290690811)"
Tự học là hình thức học tập như thế nào?,"(Document(metadata={}, page_content='1. Hình thức dạy học'), 0.4708182471446172)"
Tự học là hình thức học tập như thế nào?,"(Document(metadata={}, page_content='- Học phí được tính theo công thức:'), 0.3115134436044744)"
Tự học là hình thức học tập như thế nào?,"(Document(metadata={}, page_content='1. Đào tạo văn bằng thứ hai theo hình thức vừa làm vừa học dành cho người đã có bằng đại học.'), 0.290217736869981)"
Tự học là hình thức học tập như thế nào?,"(Document(metadata={}, page_content='c) Tự học: sinh viên tự học tập và nghiên cứu theo kế hoạch và nội dung do giảng viên giao và được kiểm tra đánh giá.'), 0.28121854177593486)"
Tín chỉ được định nghĩa như thế nào trong chương trình đào tạo?,"(Document(metadata={}, page_content='2. Thiết kế chương trình đào tạo'), 0.5002092676599921)"
Tín chỉ được định nghĩa như thế nào trong chương trình đào tạo?,"(Document(metadata={}, page_content='1. Nguyên tắc thiết kế chương trình đào tạo'), 0.49332588650804143)"
Tín chỉ được định nghĩa như thế nào trong chương trình đào tạo?,"(Document(metadata={}, page_content='c) Công nhận, chuyển đổi theo cả chương trình đào tạo.'), 0.47495036631947374)"
Tín chỉ được định nghĩa như thế nào trong chương trình đào tạo?,"(Document(metadata={}, page_content='c) Chuẩn đầu ra của chương trình đào tạo;'), 0.4744651296525678)"
Giờ tín chỉ được đo như thế nào?,"(Document(metadata={}, page_content='Điều 4. Hình thức dạy học, tín chỉ, giờ tín chỉ'), 0.40181483670670237)"
Giờ tín chỉ được đo như thế nào?,"(Document(metadata={}, page_content='3. Giờ tín chỉ là đại lượng đo thời lượng học tập của sinh viên, được phân thành ba loại theo các hình thức dạy học và được xác định như sau:'), 0.3392522233645253)"
Giờ tín chỉ được đo như thế nào?,"(Document(metadata={}, page_content='a) Một giờ tín chỉ lý thuyết bằng 01 tiết lý thuyết; để tiếp thu được 1 giờ tín chỉ lý thuyết sinh viên phải dành ít nhất 2 tiết chuẩn bị cá nhân;'), 0.2588981608604446)"
Giờ tín chỉ được đo như thế nào?,"(Document(metadata={}, page_content='Năm thứ hai | Từ 35 - 70 tín chỉ | Từ 40 – 80 tín chỉ | Từ 45 – 90 tín chỉ'), 0.23844319946004644)"
Một giờ tín chỉ lý thuyết tương đương với bao nhiêu tiết lý thuyết?,"(Document(metadata={}, page_content='a) Một giờ tín chỉ lý thuyết bằng 01 tiết lý thuyết; để tiếp thu được 1 giờ tín chỉ lý thuyết sinh viên phải dành ít nhất 2 tiết chuẩn bị cá nhân;'), 0.4942123611727711)"
Một giờ tín chỉ lý thuyết tương đương với bao nhiêu tiết lý thuyết?,"(Document(metadata={}, page_content='b) Một giờ tín chỉ thực hành bằng 2 - 3 tiết thực hành, thí nghiệm hoặc thảo luận; 3 - 6 tiết thực tập tại cơ sở; 3 - 4 tiết làm tiểu luận, bài tập lớn hoặc đồ án, khóa luận tốt nghiệp; một giờ tín chỉ bài tập bằng 2 tiết trên lớp; để tiếp thu được 1 giờ tín chỉ thực hành/bài tập sinh viên phải dành ít nhất 2 tiết chuẩn bị cá nhân;'), 0.2972897673158664)"
Một giờ tín chỉ lý thuyết tương đương với bao nhiêu tiết lý thuyết?,"(Document(metadata={}, page_content='2. Tín chỉ là đại lượng xác định khối lượng kiến thức, kỹ năng mà sinh viên tích lũy được từ học phần trong 15 giờ tín chỉ.'), 0.2224667621824158)"
Một giờ tín chỉ lý thuyết tương đương với bao nhiêu tiết lý thuyết?,"(Document(metadata={}, page_content='2. Khối lượng kiến thức tích lũy là tổng số tín chỉ của những học phần đã được đánh giá loại đạt, tính từ đầu khóa học.'), 0.21476687013426354)"
Sinh viên cần dành bao nhiêu thời gian chuẩn bị cá nhân để tiếp thu được 1 giờ tín chỉ lý thuyết?,"(Document(metadata={}, page_content='a) Một giờ tín chỉ lý thuyết bằng 01 tiết lý thuyết; để tiếp thu được 1 giờ tín chỉ lý thuyết sinh viên phải dành ít nhất 2 tiết chuẩn bị cá nhân;'), 0.628297080619874)"
Sinh viên cần dành bao nhiêu thời gian chuẩn bị cá nhân để tiếp thu được 1 giờ tín chỉ lý thuyết?,"(Document(metadata={}, page_content='b) Một giờ tín chỉ thực hành bằng 2 - 3 tiết thực hành, thí nghiệm hoặc thảo luận; 3 - 6 tiết thực tập tại cơ sở; 3 - 4 tiết làm tiểu luận, bài tập lớn hoặc đồ án, khóa luận tốt nghiệp; một giờ tín chỉ bài tập bằng 2 tiết trên lớp; để tiếp thu được 1 giờ tín chỉ thực hành/bài tập sinh viên phải dành ít nhất 2 tiết chuẩn bị cá nhân;'), 0.5215491864385735)"
Sinh viên cần dành bao nhiêu thời gian chuẩn bị cá nhân để tiếp thu được 1 giờ tín chỉ lý thuyết?,"(Document(metadata={}, page_content='d) Vì lý do cá nhân khác nhưng phải học tối thiểu 01 học kỳ và không thuộc các trường hợp bị xem xét buộc thôi học hoặc xem xét kỷ luật và phải đạt điểm trung bình chung tích lũy tổi thiểu 2,0. Thời gian nghỉ học tạm thời vì nhu cầu cá nhân được tính vào thời gian tối đa được phép học.'), 0.3734444442748672)"
Sinh viên cần dành bao nhiêu thời gian chuẩn bị cá nhân để tiếp thu được 1 giờ tín chỉ lý thuyết?,"(Document(metadata={}, page_content='1. Thời gian của khóa học'), 0.35979400727285593)"
